Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
6/5/2000,1507.51,1511.08,1498.07,1500.88,1479.44,1448.21,1463.74,6998100
6/6/2000,1501.64,1507.26,1487.35,1493.22,1486.74,1456.43,1462.85,4858900
6/7/2000,1493.73,1508.02,1487.61,1502.41,1496.9,1463.6,1462.73,4919500
6/8/2000,1503.16,1508.19,1488.58,1497.13,1500.03,1471.54,1462.72,5723100
6/9/2000,1497.13,1512.97,1484.81,1492.61,1497.25,1479.82,1462.8,3085300
6/12/2000,1490.59,1498.64,1476.52,1477.02,1492.48,1485.96,1461.78,3478900
6/13/2000,1476.52,1504.17,1473.75,1502.66,1494.37,1490.55,1462.52,6558700
6/14/2000,1502.41,1515.73,1497.63,1506.18,1495.12,1496.01,1464.33,6420500
6/15/2000,1505.17,1514.47,1494.37,1505.68,1496.83,1498.43,1466.1,5881200
6/16/2000,1506.18,1512.21,1487.58,1496.12,1497.53,1497.39,1467.01,5567900
6/19/2000,1495.62,1522.52,1491.35,1512.71,1504.67,1498.57,1468.78,5106900
6/20/2000,1513.97,1517.49,1498.89,1507.18,1505.58,1499.97,1470.72,6480000
6/21/2000,1505.68,1511.71,1496.38,1506.68,1505.68,1500.4,1473.73,3115000
6/22/2000,1506.18,1507.94,1476.52,1484.36,1501.41,1499.12,1475.07,7490500
6/23/2000,1483.56,1487.58,1464.96,1471.49,1496.49,1497.01,1475.44,4863300
6/26/2000,1471.49,1488.33,1471.49,1487.08,1491.36,1498.02,1475.41,5201300
6/27/2000,1487.33,1492.35,1477.52,1479.03,1485.73,1495.65,1474.64,4159500
6/28/2000,1479.03,1496.12,1478.03,1479.28,1480.25,1492.96,1474.39,5347700
6/29/2000,1479.79,1481.8,1458.92,1465.96,1476.57,1488.99,1474.2,6345700
6/30/2000,1464.45,1479.03,1462.94,1476.02,1477.47,1486.98,1475.26,7420200
7/3/2000,1480.29,1498.89,1475.51,1498.64,1479.79,1485.57,1477.45,1436600
7/4/2000,1497.88,1498.64,1493.36,1495.12,1483,1484.37,1480.26,
7/5/2000,1495.37,1501.4,1466.46,1471.24,1481.39,1480.82,1481.61,2748200
7/6/2000,1471.49,1487.08,1464.2,1481.8,1484.56,1480.57,1483.74,5963200
7/7/2000,1482.3,1510.45,1481.29,1502.91,1489.94,1483.71,1486.85,3034800
7/10/2000,1502.16,1510.96,1498.14,1499.64,1490.14,1484.96,1489.65,2816100
7/11/2000,1499.14,1513.72,1494.11,1502.91,1491.7,1487.35,1491.19,5431600
7/12/2000,1505.17,1523.02,1505.17,1513.97,1500.25,1490.82,1493.26,5883000
7/13/2000,1514.47,1525.03,1510.7,1517.74,1507.44,1496,1494.47,5356000
7/14/2000,1518.24,1534.33,1517.74,1532.32,1513.32,1501.63,1495.33,5341900
7/17/2000,1531.57,1541.37,1527.8,1530.31,1519.45,1504.8,1496.31,4208300
7/18/2000,1529.81,1532.82,1514.22,1519.75,1522.82,1507.26,1497.2,4262100
7/19/2000,1520.26,1522.27,1501.4,1508.44,1521.71,1510.98,1497.4,8506800
7/20/2000,1508.69,1525.53,1506.18,1524.53,1523.07,1515.25,1498.31,4538900
7/21/2000,1524.03,1524.53,1496.63,1497.63,1516.13,1514.73,1498.48,5656900
7/24/2000,1497.38,1507.69,1484.31,1489.59,1507.99,1513.72,1498.9,5628500
7/25/2000,1488.84,1496.12,1485.82,1492.61,1502.56,1512.69,1498.56,4757100
7/26/2000,1492.86,1493.36,1474,1477.02,1496.28,1508.99,1497.59,12062500
7/27/2000,1476.02,1483.81,1463.95,1471.74,1485.72,1504.39,1496.46,7652600
7/28/2000,1471.24,1477.02,1431.27,1439.82,1474.16,1495.14,1494.58,6229500
7/31/2000,1439.32,1457.16,1436.55,1446.86,1465.61,1486.8,1492.39,5265500
8/1/2000,1447.36,1462.44,1444.85,1455.4,1458.17,1480.36,1490.66,3946600
8/2/2000,1454.9,1469.73,1450.38,1460.43,1454.85,1475.56,1489.12,7439800
8/3/2000,1458.67,1473,1441.08,1469.48,1454.4,1470.06,1488.63,4607100
8/4/2000,1469.98,1481.55,1466.97,1479.79,1462.39,1468.27,1488.9,3686600
8/7/2000,1479.28,1498.64,1477.52,1494.37,1471.89,1468.75,1489.15,4159800
8/8/2000,1494.37,1502.41,1487.08,1499.9,1480.79,1469.48,1489.84,3658700
8/9/2000,1500.65,1507.69,1487.33,1489.09,1486.52,1470.69,1490.17,5383800
8/10/2000,1489.34,1492.86,1476.27,1482.3,1489.09,1471.74,1490.71,4193400
8/11/2000,1481.29,1492.86,1468.47,1486.57,1490.44,1476.42,1491.06,5089400
8/14/2000,1487.33,1507.69,1483.81,1506.18,1492.81,1482.35,1491.32,2966700
8/15/2000,1506.18,1509.2,1499.14,1502.91,1493.41,1487.1,1491.58,5564600
8/16/2000,1502.16,1510.96,1490.09,1499.64,1495.52,1491.02,1492.52,5191600
8/17/2000,1499.9,1515.23,1494.62,1511.71,1501.4,1495.25,1493.52,5652200
8/18/2000,1511.71,1516.23,1503.16,1508.94,1505.88,1498.16,1493.72,4626400
8/21/2000,1509.2,1517.99,1505.43,1514.98,1507.64,1500.22,1494.23,2380600
8/22/2000,1515.23,1523.02,1511.21,1515.73,1510.2,1501.81,1494.66,3075300
8/23/2000,1515.73,1521.76,1502.91,1518.5,1513.97,1504.75,1494.81,5483200
8/24/2000,1518.75,1524.53,1514.47,1523.52,1516.33,1508.87,1495,4529000
8/25/2000,1523.52,1527.29,1518.24,1521.76,1518.9,1512.39,1494.65,2822200
8/28/2000,1521.76,1538.35,1519.25,1527.04,1521.31,1514.47,1494.54,5518700
8/29/2000,1527.29,1527.8,1517.49,1526.54,1523.47,1516.84,1494.77,3561900
8/30/2000,1526.79,1527.29,1511.21,1511.71,1522.12,1518.04,1494.88,3964800
8/31/2000,1512.71,1537.85,1511.96,1529.56,1523.32,1519.83,1495.04,4863100
9/1/2000,1531.06,1548.41,1527.55,1531.57,1525.28,1522.09,1496.18,3191200
9/4/2000,1531.32,1534.84,1529.81,1535.09,1526.89,1524.1,1497.69,
9/5/2000,1534.08,1535.09,1514.73,1520.51,1525.69,1524.58,1498.62,3470800
9/6/2000,1520.51,1523.27,1500.9,1502.16,1523.78,1522.95,1499.46,4322200
9/7/2000,1502.16,1516.52,1501.41,1514.54,1520.77,1522.05,1500.89,4265500
9/8/2000,1514.04,1515.03,1498.94,1504.63,1515.39,1520.33,1503.05,3518200
