Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
2001-10-12,1012.62,1049.63,1001,1038.25,1002.94,1051.22,1134.95,103320000
2001-10-19,1037.06,1057.7,1004.79,1017.84,997.44,1039.36,1131.91,99800000
2001-10-26,1017.84,1055.8,1011.44,1045.84,1021.92,1032.75,1129.29,101830000
2001-11-02,1047.03,1047.03,999.57,1033.98,1030.61,1022.86,1127.2,120460000
2001-11-09,1033.74,1079.53,1032.55,1066.24,1040.43,1021.21,1124.52,97710000
2001-11-16,1065.29,1093.53,1040.62,1081.9,1049.16,1026.05,1120.49,96650000
2001-11-23,1082.38,1096.61,1073.36,1094,1064.39,1030.92,1116.61,48090000
2001-11-30,1093.77,1105.39,1067.67,1081.9,1071.61,1046.76,1111.86,84190000
2001-12-07,1079.29,1115.36,1067.9,1101.36,1085.08,1057.84,1108.45,94550000
2001-12-14,1101.36,1103.26,1057.02,1067.92,1085.42,1062.92,1102.51,86630000
2001-12-21,1067.68,1094.46,1063.41,1088.77,1086.79,1067.98,1097.81,76670000
2001-12-28,1088.54,1105.6,1083.32,1098.96,1087.78,1076.09,1093.89,36040000
2002-01-04,1098.96,1116.98,1077.4,1114.13,1094.23,1082.92,1090.43,69160000
2002-01-11,1112.24,1117.21,1085.69,1088.06,1091.57,1088.33,1087.71,68940000
2002-01-18,1087.83,1090.19,1065.78,1070.29,1092.04,1088.73,1084.12,84340000
2002-01-25,1070.52,1080.48,1059.39,1074.32,1089.15,1087.97,1080.76,48890000
2002-02-01,1073.61,1079.77,1024.55,1065.07,1082.37,1085.08,1078.3,108790000
2002-02-08,1064.13,1065.55,1019.57,1039.48,1067.44,1080.84,1073.98,130260000
2002-02-15,1039.95,1066.97,1037.34,1047.3,1059.29,1075.43,1070.25,88380000
2002-02-22,1046.59,1050.38,1017.91,1034.97,1052.23,1072.14,1066.28,98110000
2002-03-01,1035.21,1074.55,1030.47,1073.61,1052.09,1070.62,1063.27,118360000
2002-03-08,1072.18,1112.44,1071.24,1103.22,1059.71,1071.04,1062.16,109350000
2002-03-15,1102.75,1112.44,1090.69,1103.46,1072.51,1069.98,1061.88,82350000
2002-03-22,1102.75,1113.62,1079.34,1087.14,1080.48,1069.88,1060.36,94720000
2002-03-29,1086.67,1094,1071.54,1086.91,1090.87,1071.55,1060.49,74020000
2002-04-05,1083.12,1087.61,1059.72,1064.44,1089.03,1070.56,1061.53,101940000
2002-04-12,1064.92,1072.01,1043.16,1051.68,1078.72,1069.22,1061.74,89210000
2002-04-19,1052.15,1074.14,1040.33,1065.63,1071.16,1071.83,1066.48,81250000
2002-04-26,1066.34,1066.81,1012.19,1013.85,1056.5,1068.49,1067.25,95030000
2002-05-03,1014.08,1033,1005.81,1014.79,1042.08,1066.47,1067.18,95640000
2002-05-10,1015.5,1030.87,989.02,996.82,1028.55,1058.79,1065.8,111050000
2002-05-17,996.82,1048.84,996.35,1045.29,1027.28,1053,1066.71,134370000
2002-05-24,1044.82,1046.47,1017.16,1023.78,1018.91,1045.03,1065.98,72320000
2002-05-31,1024.49,1030.87,997.06,1009.59,1018.05,1037.28,1065.16,77060000
2002-06-07,1008.41,1012.9,955.45,972.47,1009.59,1025.83,1062.04,119050000
2002-06-14,973.42,988.31,924.98,954.27,1001.08,1014.82,1057.78,130350000
2002-06-21,953.33,987.82,930.65,937.27,979.48,1003.38,1052.56,118010000
2002-06-28,937.74,951.68,893.33,935.38,961.8,990.35,1047.67,168440000
2002-07-05,934.43,941.28,883.18,936.32,947.14,982.6,1042.17,104090000
2002-07-12,935.85,940.81,850.82,866.64,925.98,967.78,1035.46,196860000
2002-07-19,866.17,878.45,793.42,797.43,894.61,947.84,1025.75,290070016
2002-07-26,796.25,809.01,728.46,806.65,868.48,923.98,1016.01,388200000
2002-08-02,807.83,865.46,805.46,817.27,844.86,903.33,1006.11,264200000
2002-08-09,817.27,864.28,782.79,857.67,829.13,888.14,998.43,246440000
2002-08-16,856.48,884.36,827.43,876.8,831.16,878.57,991.98,215110000
2002-08-23,877.03,912.7,870.66,889.08,849.49,872.05,985.81,175950000
2002-08-30,888.37,903.73,852.71,865.46,861.26,864.87,979.16,192190000
2002-09-06,862.86,862.86,821.29,845.15,866.83,855.85,972.68,233750000
2002-09-13,843.26,876.33,827.9,842.08,863.71,846.42,965.84,188030000
2002-09-20,842.08,865.46,792,795.78,847.51,839.34,957.86,225640000
2002-09-27,796.96,809.95,765.55,779.72,825.64,837.56,948.07,294260000
2002-10-04,779.72,807.59,748.54,761.29,804.8,833.03,936.67,321520000
2002-10-11,760.35,797.43,724.92,792.24,794.22,830.53,926.3,371780000
2002-10-18,790.58,840.42,781.84,834.52,792.71,828.21,917.88,302870016
2002-10-25,833.34,855.07,824.36,849.16,803.39,825.45,909.95,241360000
2002-11-01,850.58,859.08,818.22,848.93,817.23,821.43,902.77,234200000
